팀,선수,WAR,연봉등급,pid,연도
KT 위즈,오원석,3.39,C,14581,2025
KT 위즈,장진혁,0.04,C,12583,2025
KT 위즈,최동환,-0.22,C,10535,2025
KT 위즈,손동현,1.51,C,14108,2025
KT 위즈,이호연,0.22,D,13151,2025
KT 위즈,이정훈,0.70,D,12916,2025
KT 위즈,송민섭,0.03,D,11342,2025
KT 위즈,이상동,0.53,D,14109,2025
KT 위즈,문용익,0.07,D,12885,2025
KT 위즈,조이현,0.18,D,11284,2025
KT 위즈,임준형,-0.06,D,14142,2025
KT 위즈,장준원,-0.41,D,11214,2025
KT 위즈,강현우,0.14,D,14603,2025
KT 위즈,이채호,-0.04,D,13130,2025
KT 위즈,권동진,0.67,E,14777,2025
KT 위즈,안치영,-0.03,E,13006,2025
KT 위즈,조대현,0.32,E,13177,2025
KT 위즈,원상현,0.93,E,16027,2025
KT 위즈,이선우,-,E,14111,2025
KT 위즈,강민성,-0.52,E,14191,2025
KT 위즈,전용주,0.45,E,14106,2025
KT 위즈,성재헌,-,E,14667,2025
KT 위즈,김병준,-0.02,E,15097,2025
KT 위즈,육청명,-,E,16028,2025
KT 위즈,강건,-0.10,E,15527,2025
KT 위즈,김태오,-,E,12577,2025
KT 위즈,한차현,-0.03,E,14776,2025
KT 위즈,이정현,-0.05,E,12937,2025
KT 위즈,윤준혁,-0.16,E,14605,2025
KT 위즈,박민석,0.22,E,14110,2025
KT 위즈,안현민,5.04,E,15092,2025
KT 위즈,김건형,-0.07,E,14779,2025
KT 위즈,최성민,0.09,E,14870,2025
KT 위즈,지명성,-,E,14775,2025
KT 위즈,문상준,-,E,14720,2025
KT 위즈,이상우,-,E,15090,2025
KT 위즈,박준혁,-,E,16354,2025
KT 위즈,박민석,-,E,16355,2025
KT 위즈,오서진,-0.03,E,16356,2025
KT 위즈,이용현,-,E,16357,2025
KT 위즈,윤상인,-,E,16358,2025
KT 위즈,이정환,-,E,16359,2025
KT 위즈,정영웅,-,E,16360,2025
KT 위즈,김동현,-,E,16351,2025
KT 위즈,박건우,-,E,16352,2025
KT 위즈,김재원,-0.05,E,16353,2025
KT 위즈,이승준,-,E,16361,2025
KT 위즈,김주완,-,E,14833,2025
KT 위즈,권성준,-,E,15096,2025
KT 위즈,최동희,-,E,15094,2025
KT 위즈,우종휘,-,E,15093,2025
KT 위즈,한지웅,-,E,15091,2025
KT 위즈,유준규,-0.31,E,14778,2025
KT 위즈,신범준,-,E,14774,2025
KT 위즈,이태규,-,E,14179,2025
KT 위즈,김철호,-,E,13083,2025
KT 위즈,유호식,-,E,13127,2025
KT 위즈,최용준,0.23,E,14658,2025
KT 위즈,이종혁,-,E,12938,2025
KT 위즈,이현민,-,E,16159,2025
KT 위즈,이준명,-,E,15526,2025
