선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉,예측연봉
임병욱,-0.16,42,-0.13,-0.03,92,92,87,14,21,3,0,3,33,10,1,0,4,0,0,32,1,0,1,0.241,0.272,0.379,0.651,0.075,57.9,112267,2024,11226,33.0,22.0,190.0,-0.084,43.0,42.0,0.0,1.0,0.977,1.989,-0.37,-0.4,-0.05,0.0,0.0,0.0,0.0,0.0,-0.81,-3.535,-0.114,-0.924,-0.074,0.0,0,0,0,1,0,0,0,0,567876,7000.0,6000.0,6087.8
김병휘,-0.19,28,0.03,-0.21,71,70,59,6,10,3,0,1,16,3,0,0,6,5,0,26,0,1,0,0.169,0.3,0.271,0.571,0.081,61.7,145777,2024,14577,28.0,21.0,166.0,-0.11,68.0,20.0,46.0,2.0,0.971,3.578,-2.92,0.0,0.42,0.27,0.0,0.0,0.0,0.0,-2.22,-11.417,1.018,-1.202,-0.203,0.0,0,0,0,0,1,0,0,0,567876,3300.0,3500.0,3615.62
변상권,-0.2,77,-0.58,0.38,232,232,219,16,55,3,1,5,75,21,0,0,11,1,0,51,4,0,1,0.251,0.289,0.342,0.631,0.075,57.6,132237,2024,13223,46.0,37.0,329.0,0.285,95.0,94.0,0.0,1.0,0.989,2.571,5.5,-1.26,-0.03,0.0,0.0,0.0,0.0,0.0,4.21,13.179,-1.087,3.123,0.385,0.0,0,0,0,0,0,1,0,0,567876,4800.0,5500.0,5984.6
원성준,-0.22,51,-0.16,-0.07,125,124,112,12,28,5,0,2,39,11,2,0,10,0,0,36,2,1,2,0.25,0.306,0.348,0.654,0.087,67.3,161367,2024,16136,24.0,14.0,126.0,-0.115,36.0,33.0,2.0,1.0,0.972,2.5,-2.11,1.15,-0.23,0.0,0.0,0.0,0.0,0.0,-1.18,-7.08,-0.079,-1.259,-0.108,0.0,0,0,0,0,0,0,1,0,567876,3000.0,4000.0,5451.42
박주홍,-0.27,25,-0.44,0.17,59,59,49,5,5,2,0,0,7,1,2,0,10,0,0,17,1,0,0,0.102,0.254,0.143,0.397,0.016,12.6,145807,2024,14580,24.0,15.0,118.0,0.146,40.0,39.0,1.0,0.0,1.0,3.051,1.86,-0.15,0.19,0.0,0.0,0.0,0.0,0.0,1.9,11.4,-0.3,1.6,0.174,0.0,0,0,0,0,0,1,0,0,567876,3600.0,3700.0,3743.3
장재영,-0.33,38,-0.25,-0.07,139,139,119,14,20,3,0,4,35,13,0,0,17,3,0,64,2,0,0,0.168,0.288,0.294,0.582,0.072,55.7,147847,2024,14784,37.0,35.0,283.0,-0.102,69.0,66.0,3.0,0.0,1.0,2.194,-1.37,-0.06,0.74,0.0,0.0,0.0,0.0,0.0,-0.7,-2.724,-0.422,-1.122,-0.064,0.0,0,0,0,1,0,0,0,0,567876,4000.0,4600.0,4687.15
김웅빈,-0.4,12,-0.4,0.0,38,37,32,2,4,0,0,0,4,2,0,0,4,1,0,15,1,1,0,0.125,0.243,0.125,0.368,0.002,1.5,125037,2024,12503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,567876,5000.0,4000.0,4675.96
고영우,-0.42,94,0.01,-0.43,290,286,254,21,65,12,2,0,81,35,0,0,28,1,0,71,5,4,3,0.256,0.329,0.319,0.648,0.094,73.5,161287,2024,16128,89.0,63.0,554.0,-0.574,184.0,55.0,117.0,12.0,0.935,2.794,-3.92,0.0,-2.12,-0.33,0.0,0.0,0.0,0.0,-6.41,-10.371,0.124,-6.286,-0.586,0.0,0,0,1,0,0,0,0,0,567876,3000.0,4500.0,6789.05
이원석,-0.53,39,-0.33,-0.2,109,109,91,5,20,4,0,0,24,8,0,0,14,2,0,18,2,0,2,0.22,0.33,0.264,0.594,0.085,66.4,101807,2024,10180,12.0,12.0,87.0,-0.254,91.0,85.0,4.0,2.0,97.8,9.21,-1.45,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,-2.02,-7.46,-0.76,-2.78,-0.185,0.0,1,0,0,0,0,0,0,0,567876,40000.0,30000.0,27218.83
이승원,-0.74,20,-0.53,-0.2,41,39,37,3,4,1,0,0,5,1,0,0,2,0,0,13,2,2,0,0.108,0.154,0.135,0.289,-0.058,-43.9,154767,2024,15476,19.0,13.0,97.0,-0.242,48.0,20.0,25.0,3.0,0.938,4.175,-1.84,0.0,-0.64,-0.87,0.0,0.0,0.0,0.0,-3.35,-25.389,0.701,-2.649,-0.306,0.0,0,0,0,0,1,0,0,0,567876,10100.0,3200.0,8420.2
임지열,-0.87,22,-0.59,-0.28,57,57,49,4,5,0,0,1,8,5,0,0,7,0,0,16,2,0,1,0.102,0.211,0.163,0.374,-0.011,-8.3,112257,2024,11225,17.0,14.0,105.0,-0.296,19.0,19.0,0.0,0.0,1.0,1.629,-3.3,0.04,0.24,0.0,0.0,0.0,0.0,0.0,-3.0,-25.412,-0.245,-3.245,-0.274,0.0,1,0,0,0,0,0,0,0,567876,7200.0,5800.0,5796.8
이재상,-1.04,36,-0.55,-0.49,89,88,84,7,16,1,0,1,20,5,0,0,2,2,0,33,0,1,0,0.19,0.227,0.238,0.465,0.013,9.9,161247,2024,16124,35.0,28.0,221.0,-0.344,98.0,44.0,50.0,4.0,95.9,3.83,-3.25,0.0,-0.05,-2.19,0.0,0.0,0.0,0.0,-5.49,-21.96,1.72,-3.77,-0.501,0.0,0,0,0,0,1,0,0,0,567876,3000.0,3200.0,3420.82
