Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
37,김민석,25 C,,2,0,2.0,1,1,0,0,100.0,4.5,0.0,,0.01,,,0.0,0.0,,0.01,0.46,,,0.001,,포수
37,박민준,25 C,,3,0,4.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,-0.09,-0.38,,-0.34,-16.31,,,-0.031,,포수
37,허인서,25 C,,3,0,3.0,4,4,0,0,100.0,12.0,0.0,,0.01,,,,-0.21,,-0.14,-4.95,,,-0.014,,포수
1,고승민,25 1B,0.208,13,10,88.0,80,73,7,0,100.0,8.18,2.67,,0.16,,0.1,,,,2.93,5.93,-0.88,2.05,0.298,0.208,1루수
2,정훈,25 1B,0.174,26,16,158.1,173,158,14,1,99.4,9.78,3.13,,-0.22,,0.2,,,,3.11,6.89,-1.4,1.71,0.317,0.174,1루수
3,강승호,25 1B,0.154,29,9,116.0,123,113,9,1,99.2,9.47,2.07,,0.21,,0.11,,,,2.39,4.54,-0.88,1.51,0.244,0.154,1루수
4,천성호,25 1B,0.139,6,4,50.0,54,49,5,0,100.0,9.72,1.77,,0.09,,,,,,1.86,5.7,-0.5,1.36,0.19,0.139,1루수
5,김주성,25 1B,0.124,3,2,16.0,23,21,2,0,100.0,12.94,1.31,,0.03,,,,,,1.34,14.81,-0.12,1.22,0.136,0.124,1루수
6,임지열,25 1B,0.124,10,6,61.0,62,60,2,0,100.0,9.15,1.63,,0.11,,,,,,1.74,4.9,-0.52,1.22,0.177,0.124,1루수
7,한재환,25 1B,0.123,6,2,21.0,24,23,1,0,100.0,10.29,1.33,,0.04,,,,,,1.37,12.33,-0.16,1.21,0.14,0.123,1루수
